,Index,Name,Type,Construction_ConstructionOfHouses,Houses_NumberOfHouses
185,8125,Heilbronn, Landkreis,1004,148966
186,8126,Hohenlohekreis,,345,49082
187,8127,Schwäbisch Hall, Landkreis,681,85245
188,8128,Main-Tauber-Kreis,,278,63238
189,8135,Heidenheim, Landkreis,271,59464
190,8136,Ostalbkreis,,693,141046
191,8211,Baden-Baden, kreisfreie Stadt,122,30112
192,8212,Karlsruhe, kreisfreie Stadt,703,150703
193,8215,Karlsruhe, Landkreis,1006,202165
194,8216,Rastatt, Landkreis,488,108228
195,8221,Heidelberg, kreisfreie Stadt,826,70882
196,8222,Mannheim, kreisfreie Stadt,623,156911
197,8225,Neckar-Odenwald-Kreis,,224,66137
198,8226,Rhein-Neckar-Kreis,,1345,262420
199,8231,Pforzheim, kreisfreie Stadt,302,58997
200,8235,Calw, Landkreis,403,74313
201,8236,Enzkreis,,499,90364
202,8237,Freudenstadt, Landkreis,229,55921
203,8311,Freiburg im Breisgau, kreisfreie Stadt,677,104074
204,8315,Breisgau-Hochschwarzwald, Landkreis,788,119662
205,8316,Emmendingen, Landkreis,635,74519
206,8317,Ortenaukreis,,1273,192226
207,8325,Rottweil, Landkreis,373,64786
208,8326,Schwarzwald-Baar-Kreis,,446,101654
209,8327,Tuttlingen, Landkreis,316,61413
210,8335,Konstanz, Landkreis,949,135271
211,8336,Lörrach, Landkreis,719,106355
212,8337,Waldshut, Landkreis,417,80242
213,8415,Reutlingen, Landkreis,837,127053
214,8416,Tübingen, Landkreis,1031,97208
215,8417,Zollernalbkreis,,430,85429
216,8421,Ulm, kreisfreie Stadt,426,59164
217,8425,Alb-Donau-Kreis,,714,83038
218,8426,Biberach, Landkreis,1020,83780
219,8435,Bodenseekreis,,849,103003
220,8436,Ravensburg, Landkreis,1093,121632
221,8437,Sigmaringen, Landkreis,255,57385
222,9161,Ingolstadt, kreisfreie Stadt,841,59036
223,9162,München, kreisfreie Stadt,6204,699319
224,9163,Rosenheim, kreisfreie Stadt,239,30497
225,9171,Altötting, Landkreis,284,48236
226,9172,Berchtesgadener Land, Landkreis,338,50171
227,9173,Bad Tölz-Wolfratshausen, Landkreis,668,56585
228,9174,Dachau, Landkreis,670,62967
229,9175,Ebersberg, Landkreis,523,56298
230,9176,Eichstätt, Landkreis,718,52249
231,9177,Erding, Landkreis,722,54830
232,9178,Freising, Landkreis,631,75233
233,9179,Fürstenfeldbruck, Landkreis,846,92800
234,9180,Garmisch-Partenkirchen, Landkreis,229,48975
235,9181,Landsberg am Lech, Landkreis,407,50836
236,9182,Miesbach, Landkreis,442,47997
237,9183,Mühldorf am Inn, Landkreis,474,45558
238,9184,München, Landkreis,1381,147513
239,9185,Neuburg-Schrobenhausen, Landkreis,432,39075
240,9186,Pfaffenhofen an der Ilm, Landkreis,613,50892
241,9187,Rosenheim, Landkreis,1057,113321
242,9188,Starnberg, Landkreis,460,62150
243,9189,Traunstein, Landkreis,843,82317
244,9190,Weilheim-Schongau, Landkreis,502,59631
245,9261,Landshut, kreisfreie Stadt,642,32222
246,9262,Passau, kreisfreie Stadt,129,27668
247,9263,Straubing, kreisfreie Stadt,203,22806
248,9271,Deggendorf, Landkreis,656,52363
249,9272,Freyung-Grafenau, Landkreis,126,36716
250,9273,Kelheim, Landkreis,458,49503
251,9274,Landshut, Landkreis,484,62484
252,9275,Passau, Landkreis,975,85161
253,9276,Regen, Landkreis,109,38905
254,9277,Rottal-Inn, Landkreis,369,50538
255,9278,Straubing-Bogen, Landkreis,383,40574
256,9279,Dingolfing-Landau, Landkreis,309,39073
257,9361,Amberg, kreisfreie Stadt,168,22575
258,9362,Regensburg, kreisfreie Stadt,1583,76186
259,9363,Weiden in der Oberpfalz, kreisfreie Stadt,325,23360
260,9371,Amberg-Sulzbach, Landkreis,125,49030
261,9372,Cham, Landkreis,448,58912
262,9373,Neumarkt in der Oberpfalz, Landkreis,757,53719
263,9374,Neustadt an der Waldnaab, Landkreis,251,45023
264,9375,Regensburg, Landkreis,665,83084
265,9376,Schwandorf, Landkreis,320,66328
266,9377,Tirschenreuth, Landkreis,94,36335
267,9461,Bamberg, kreisfreie Stadt,242,39926
268,9462,Bayreuth, kreisfreie Stadt,750,37814
269,9463,Coburg, kreisfreie Stadt,83,21865
270,9464,Hof, kreisfreie Stadt,34,26032
271,9471,Bamberg, Landkreis,188,65857
272,9472,Bayreuth, Landkreis,100,51239
273,9473,Coburg, Landkreis,153,41227
274,9474,Forchheim, Landkreis,297,52944
275,9475,Hof, Landkreis,42,51330
276,9476,Kronach, Landkreis,23,33024
277,9477,Kulmbach, Landkreis,118,36567
278,9478,Lichtenfels, Landkreis,158,31335
279,9479,Wunsiedel im Fichtelgebirge, Landkreis,57,40874
280,9561,Ansbach, kreisfreie Stadt,101,20513
281,9562,Erlangen, kreisfreie Stadt,411,53277
282,9563,Fürth, kreisfreie Stadt,739,59412
283,9564,Nürnberg, kreisfreie Stadt,1546,260603
284,9565,Schwabach, kreisfreie Stadt,131,18901
285,9571,Ansbach, Landkreis,472,79917
286,9572,Erlangen-Höchstadt, Landkreis,419,60370
287,9573,Fürth, Landkreis,464,55358
288,9574,Nürnberger Land, Landkreis,502,79772
289,9575,Neustadt an der Aisch-Bad Windsheim, Landkreis,229,44410
290,9576,Roth, Landkreis,460,55858
291,9577,Weißenburg-Gunzenhausen, Landkreis,180,43205
292,9661,Aschaffenburg, kreisfreie Stadt,214,35799
293,9662,Schweinfurt, kreisfreie Stadt,57,26688
294,9663,Würzburg, kreisfreie Stadt,355,71462
295,9671,Aschaffenburg, Landkreis,393,81965
296,9672,Bad Kissingen, Landkreis,185,51646
297,9673,Rhön-Grabfeld, Landkreis,157,38373
298,9674,Haßberge, Landkreis,103,37875
299,9675,Kitzingen, Landkreis,154,41565
300,9676,Miltenberg, Landkreis,193,60608
301,9677,Main-Spessart, Landkreis,254,61225
302,9678,Schweinfurt, Landkreis,272,53040
303,9679,Würzburg, Landkreis,408,76118
304,9761,Augsburg, kreisfreie Stadt,1513,138503
305,9762,Kaufbeuren, kreisfreie Stadt,164,20647
306,9763,Kempten (Allgäu), kreisfreie Stadt,230,31089
307,9764,Memmingen, kreisfreie Stadt,94,19381
308,9771,Aichach-Friedberg, Landkreis,353,55867
309,9772,Augsburg, Landkreis,606,108404
310,9773,Dillingen an der Donau, Landkreis,274,39509
311,9774,Günzburg, Landkreis,432,52026
312,9775,Neu-Ulm, Landkreis,599,75983
313,9776,Lindau (Bodensee), Landkreis,242,40323
314,9777,Ostallgäu, Landkreis,319,64161
315,9778,Unterallgäu, Landkreis,538,60232
316,9779,Donau-Ries, Landkreis,426,56026
317,9780,Oberallgäu, Landkreis,579,82445
318,10041,Regionalverband Saarbrücken, Landkreis,318,175554
319,10042,Merzig-Wadern, Landkreis,327,47871
320,10043,Neunkirchen, Landkreis,171,69302
321,10044,Saarlouis, Landkreis,264,95689
322,10045,Saarpfalz-Kreis,,227,72026
323,10046,Sankt Wendel, Landkreis,89,42777
324,12051,Brandenburg an der Havel, kreisfreie Stadt,94,42176
325,12052,Cottbus, kreisfreie Stadt,221,51005
326,12053,Frankfurt (Oder), kreisfreie Stadt,51,30626
327,12054,Potsdam, kreisfreie Stadt,1047,80455
328,12060,Barnim, Landkreis,808,86236
329,12061,Dahme-Spreewald, Landkreis,590,77993
330,12062,Elbe-Elster, Landkreis,86,56348
331,12063,Havelland, Landkreis,1015,75365
332,12064,Märkisch-Oderland, Landkreis,639,93643
333,12065,Oberhavel, Landkreis,914,98912
334,12066,Oberspreewald-Lausitz, Landkreis,113,64571
335,12067,Oder-Spree, Landkreis,542,91638
336,12068,Ostprignitz-Ruppin, Landkreis,176,52689
337,12069,Potsdam-Mittelmark, Landkreis,787,93885
338,12070,Prignitz, Landkreis,67,44711
339,12071,Spree-Neiße, Landkreis,198,64391
340,12072,Teltow-Fläming, Landkreis,457,81087
341,12073,Uckermark, Landkreis,212,67181
342,13003,Rostock, kreisfreie Stadt,368,108426
343,13004,Schwerin, kreisfreie Stadt,191,55426
344,13071,Mecklenburgische Seenplatte, Landkreis,353,-
345,13072,Rostock, Landkreis,784,-
346,13073,Vorpommern-Rügen, Landkreis,910,-
347,13074,Nordwestmecklenburg, Landkreis,422,-
348,13075,Vorpommern-Greifswald, Landkreis,737,-
349,13076,Ludwigslust-Parchim, Landkreis,278,-
350,14511,Chemnitz, kreisfreie Stadt,410,145676
351,14521,Erzgebirgskreis,,516,196604
352,14522,Mittelsachsen, Landkreis,272,177033
353,14523,Vogtlandkreis,,290,142703
354,14524,Zwickau, Landkreis,259,193762
355,14612,Dresden, kreisfreie Stadt,1298,279476
356,14625,Bautzen, Landkreis,345,158658
357,14626,Görlitz, Landkreis,149,157129
358,14627,Meißen, Landkreis,518,134974
359,14628,Sächsische Schweiz-Osterzgebirge, Landkreis,411,134010
360,14713,Leipzig, kreisfreie Stadt,783,322938
361,14729,Leipzig, Landkreis,564,141308
362,14730,Nordsachsen, Landkreis,306,108027
363,15001,Dessau-Roßlau, kreisfreie Stadt,51,52262
364,15002,Halle (Saale), kreisfreie Stadt,120,133019
365,15003,Magdeburg, kreisfreie Stadt,377,129672
366,15081,Altmarkkreis Salzwedel,,150,44731
367,15082,Anhalt-Bitterfeld, Landkreis,174,95731
368,15083,Börde, Landkreis,252,89955
369,15084,Burgenlandkreis,,108,107308
370,15085,Harz, Landkreis,291,128853
371,15086,Jerichower Land, Landkreis,148,50230
372,15087,Mansfeld-Südharz, Landkreis,78,78812
373,15088,Saalekreis,,197,99785
374,15089,Salzlandkreis,,129,116596
375,15090,Stendal, Landkreis,121,64590
376,15091,Wittenberg, Landkreis,114,71489
377,16051,Erfurt, kreisfreie Stadt,342,103989
378,16052,Gera, kreisfreie Stadt,83,58262
379,16053,Jena, kreisfreie Stadt,356,52739
380,16054,Suhl, kreisfreie Stadt,39,19905
381,16055,Weimar, kreisfreie Stadt,42,34064
382,16056,Eisenach, kreisfreie Stadt,44,24300
383,16061,Eichsfeld, Landkreis,176,45667
384,16062,Nordhausen, Landkreis,54,45086
385,16063,Wartburgkreis,,171,62021
386,16064,Unstrut-Hainich-Kreis,,210,53286
387,16065,Kyffhäuserkreis,,94,41477
388,16066,Schmalkalden-Meiningen, Landkreis,127,64161
389,16067,Gotha, Landkreis,133,71113
390,16068,Sömmerda, Landkreis,76,34190
391,16069,Hildburghausen, Landkreis,73,31485
392,16070,Ilm-Kreis,,227,59714
393,16071,Weimarer Land, Landkreis,141,41634
394,16072,Sonneberg, Landkreis,30,31460
395,16073,Saalfeld-Rudolstadt, Landkreis,186,60174
396,16074,Saale-Holzland-Kreis,,99,43212
397,16075,Saale-Orla-Kreis,,55,44727
398,16076,Greiz, Landkreis,97,58071
399,16077,Altenburger Land, Landkreis,53,56746
