Index;Name;Houses
8111;      Stuttgart, Landeshauptstadt, Kreisfreie Stadt;301739
8115;      Bšblingen, Landkreis;171492
8116;      Esslingen, Landkreis;247770
8117;      Gšppingen, Landkreis;118502
8118;      Ludwigsburg, Landkreis;246238
8119;      Rems-Murr-Kreis;197560
8121;      Heilbronn, Kreisfreie Stadt;58494
8125;      Heilbronn, Landkreis;148966
8126;      Hohenlohekreis;49082
8127;      SchwŠbisch Hall, Landkreis;85245
8128;      Main-Tauber-Kreis;63238
8135;      Heidenheim, Landkreis;59464
8136;      Ostalbkreis;141046
82;    Karlsruhe, Regierungsbezirk;1327150
8211;      Baden-Baden, Kreisfreie Stadt;30112
8212;      Karlsruhe, Kreisfreie Stadt;150703
8215;      Karlsruhe, Landkreis;202165
8216;      Rastatt, Landkreis;108228
8221;      Heidelberg, Kreisfreie Stadt;70882
8222;      Mannheim, UniversitŠtsstadt, Kreisfreie Stadt;156911
8225;      Neckar-Odenwald-Kreis;66137
8226;      Rhein-Neckar-Kreis;262420
8231;      Pforzheim, Kreisfreie Stadt;58997
8235;      Calw, Landkreis;74313
8236;      Enzkreis;90364
8237;      Freudenstadt, Landkreis;55921
83;    Freiburg, Regierungsbezirk;1040200
8311;      Freiburg im Breisgau, Kreisfreie Stadt;104074
8315;      Breisgau-Hochschwarzwald, Landkreis;119662
8316;      Emmendingen, Landkreis;74519
8317;      Ortenaukreis;192226
8325;      Rottweil, Landkreis;64786
8326;      Schwarzwald-Baar-Kreis;101654
8327;      Tuttlingen, Landkreis;61413
8335;      Konstanz, Landkreis;135271
8336;      Lšrrach, Landkreis;106355
8337;      Waldshut, Landkreis;80242
84;    TŸbingen, Regierungsbezirk;817691
8415;      Reutlingen, Landkreis;127053
8416;      TŸbingen, Landkreis;97208
8417;      Zollernalbkreis;85429
8421;      Ulm, UniversitŠtsstadt, Kreisfreie Stadt;59164
8425;      Alb-Donau-Kreis;83038
8426;      Biberach, Landkreis;83780
8435;      Bodenseekreis;103003
8436;      Ravensburg, Landkreis;121632
8437;      Sigmaringen, Landkreis;57385
9;  Bayern;5981618
91;    Oberbayern, Regierungsbezirk;2086480
9161;      Ingolstadt;59036
9162;      MŸnchen, Landeshauptstadt;699319
9163;      Rosenheim;30497
9171;      Altštting, Landkreis;48236
9172;      Berchtesgadener Land, Landkreis;50171
9173;      Bad Tšlz-Wolfratshausen, Landkreis;56585
9174;      Dachau, Landkreis;62967
9175;      Ebersberg, Landkreis;56298
9176;      EichstŠtt, Landkreis;52249
9177;      Erding, Landkreis;54830
9178;      Freising, Landkreis;75233
9179;      FŸrstenfeldbruck, Landkreis;92800
9180;      Garmisch-Partenkirchen, Landkreis;48975
9181;      Landsberg am Lech, Landkreis;50836
9182;      Miesbach, Landkreis;47997
9183;      MŸhldorf a.Inn, Landkreis;45558
9184;      MŸnchen, Landkreis;147513
9185;      Neuburg-Schrobenhausen, Landkreis;39075
9186;      Pfaffenhofen a.d.Ilm, Landkreis;50892
9187;      Rosenheim, Landkreis;113321
9188;      Starnberg, Landkreis;62150
9189;      Traunstein, Landkreis;82317
9190;      Weilheim-Schongau, Landkreis;59631
92;    Niederbayern, Regierungsbezirk;538010
9261;      Landshut;32222
9262;      Passau;27668
9263;      Straubing;22806
9271;      Deggendorf, Landkreis;52363
9272;      Freyung-Grafenau, Landkreis;36716
9273;      Kelheim, Landkreis;49503
9274;      Landshut, Landkreis;62484
9275;      Passau, Landkreis;85161
9276;      Regen, Landkreis;38905
9277;      Rottal-Inn, Landkreis;50538
9278;      Straubing-Bogen, Landkreis;40574
9279;      Dingolfing-Landau, Landkreis;39073
93;    Oberpfalz, Regierungsbezirk;514552
9361;      Amberg;22575
9362;      Regensburg;76186
9363;      Weiden i.d.OPf.;23360
9371;      Amberg-Sulzbach, Landkreis;49030
9372;      Cham, Landkreis;58912
9373;      Neumarkt i.d.OPf., Landkreis;53719
9374;      Neustadt a.d.Waldnaab, Landkreis;45023
9375;      Regensburg, Landkreis;83084
9376;      Schwandorf, Landkreis;66328
9377;      Tirschenreuth, Landkreis;36335
94;    Oberfranken, Regierungsbezirk;530031
9461;      Bamberg;39926
9462;      Bayreuth;37814
9463;      Coburg;21865
9464;      Hof;26032
9471;      Bamberg, Landkreis;65857
9472;      Bayreuth, Landkreis;51239
9473;      Coburg, Landkreis;41227
9474;      Forchheim, Landkreis;52944
9475;      Hof, Landkreis;51330
9476;      Kronach, Landkreis;33024
9477;      Kulmbach, Landkreis;36567
9478;      Lichtenfels, Landkreis;31335
9479;      Wunsiedel i.Fichtelgebirge, Landkreis;40874
95;    Mittelfranken, Regierungsbezirk;831592
9561;      Ansbach;20513
9562;      Erlangen;53277
9563;      FŸrth;59412
9564;      NŸrnberg;260603
9565;      Schwabach;18901
9571;      Ansbach, Landkreis;79917
9572;      Erlangen-Hšchstadt, Landkreis;60370
9573;      FŸrth, Landkreis;55358
9574;      NŸrnberger Land, Landkreis;79772
9575;      Neustadt a.d.Aisch-Bad Windsheim, Landkreis;44410
9576;      Roth, Landkreis;55858
9577;      Wei§enburg-Gunzenhausen, Landkreis;43205
