Index;Name;Construction
9374;      Neustadt a.d.Waldnaab, Landkreis;251
9375;      Regensburg, Landkreis;665
9376;      Schwandorf, Landkreis;320
9377;      Tirschenreuth, Landkreis;94
94;    Oberfranken, Regierungsbezirk;2245
9461;      Bamberg;242
9462;      Bayreuth;750
9463;      Coburg;83
9464;      Hof;34
9471;      Bamberg, Landkreis;188
9472;      Bayreuth, Landkreis;100
9473;      Coburg, Landkreis;153
9474;      Forchheim, Landkreis;297
9475;      Hof, Landkreis;42
9476;      Kronach, Landkreis;23
9477;      Kulmbach, Landkreis;118
9478;      Lichtenfels, Landkreis;158
9479;      Wunsiedel i.Fichtelgebirge, Landkreis;57
95;    Mittelfranken, Regierungsbezirk;5654
9561;      Ansbach;101
9562;      Erlangen;411
9563;      FŸrth;739
9564;      NŸrnberg;1546
9565;      Schwabach;131
9571;      Ansbach, Landkreis;472
9572;      Erlangen-Hšchstadt, Landkreis;419
9573;      FŸrth, Landkreis;464
9574;      NŸrnberger Land, Landkreis;502
9575;      Neustadt a.d.Aisch-Bad Windsheim, Landkreis;229
9576;      Roth, Landkreis;460
9577;      Wei§enburg-Gunzenhausen, Landkreis;180
96;    Unterfranken, Regierungsbezirk;2745
9661;      Aschaffenburg;214
9662;      Schweinfurt;57
9663;      WŸrzburg;355
9671;      Aschaffenburg, Landkreis;393
9672;      Bad Kissingen, Landkreis;185
9673;      Rhšn-Grabfeld, Landkreis;157
9674;      Ha§berge, Landkreis;103
9675;      Kitzingen, Landkreis;154
9676;      Miltenberg, Landkreis;193
9677;      Main-Spessart, Landkreis;254
9678;      Schweinfurt, Landkreis;272
9679;      WŸrzburg, Landkreis;408
97;    Schwaben, Regierungsbezirk;6369
9761;      Augsburg;1513
9762;      Kaufbeuren;164
9763;      Kempten (AllgŠu);230
9764;      Memmingen;94
9771;      Aichach-Friedberg, Landkreis;353
9772;      Augsburg, Landkreis;606
9773;      Dillingen a.d.Donau, Landkreis;274
9774;      GŸnzburg, Landkreis;432
9775;      Neu-Ulm, Landkreis;599
9776;      Lindau (Bodensee), Landkreis;242
9777;      OstallgŠu, Landkreis;319
9778;      UnterallgŠu, Landkreis;538
9779;      Donau-Ries, Landkreis;426
9780;      OberallgŠu, Landkreis;579
10;  Saarland;1396
10041;      SaarbrŸcken, Regionalverband;318
10041100;      SaarbrŸcken, Landeshauptstadt;209
10042;      Merzig-Wadern, Landkreis;327
10043;      Neunkirchen, Landkreis;171
10044;      Saarlouis, Landkreis;264
10045;      Saarpfalz-Kreis;227
10046;      St. Wendel, Landkreis;89
11;  Berlin;7069
12;  Brandenburg;8017
12051;      Brandenburg an der Havel, Kreisfreie Stadt;94
12052;      Cottbus, Kreisfreie Stadt;221
12053;      Frankfurt (Oder), Kreisfreie Stadt;51
12054;      Potsdam, Kreisfreie Stadt;1047
12060;      Barnim, Landkreis;808
12061;      Dahme-Spreewald, Landkreis;590
12062;      Elbe-Elster, Landkreis;86
12063;      Havelland, Landkreis;1015
12064;      MŠrkisch-Oderland, Landkreis;639
12065;      Oberhavel, Landkreis;914
12066;      Oberspreewald-Lausitz, Landkreis;113
12067;      Oder-Spree, Landkreis;542
12068;      Ostprignitz-Ruppin, Landkreis;176
