Index,Name,Birthrate/1000 inh,Beds in hospitals (JD)_hospital,20-40 year olds,40-65 year olds,65 year and older,Total_workingAge,Total Unemployed_unemployed,Population density (inh/km2),Kaufsumme - Total (Tsd. EUR)_worthArea,Hospitals_hospital,Avg life exp men,Avg life exp women,Differences in life exp,Spendable Income
12054,Potsdam,10.641151748189214,1606.0,48790,45427,32740,63366.0,6206.0,891.0283650270902,89675,6.0,76.4,81.6,5.199999999999989,18247
12060,Barnim,7.479806776355468,1175.0,35598,57988,39864,67687.0,7414.0,119.89822123702422,76775,5.0,75.63,81.41,5.780000000000001,19102
12061,Dahme-Spreewald,7.91354663036079,1005.0,33609,53086,38123,63625.0,5295.0,72.33621603084649,88686,4.0,78.07,83.41,5.340000000000003,19393
12062,Elbe-Elster,6.830796862610224,465.0,18896,33815,27534,39200.0,5953.0,55.10352342898656,1769,1.0,78.74,81.89,3.1500000000000057,17617
12063,Havelland,7.741601152708612,482.0,31260,52770,33938,60298.0,6557.0,91.6088693336421,45110,1.0,78.25,82.23,3.980000000000004,18823
12064,Märkisch-Oderland,7.209748628836897,666.0,37335,63662,43103,70558.0,8758.0,88.34873647881777,44918,2.0,78.87,83.26,4.390000000000001,18595
12065,Oberhavel,8.06171816271853,1022.0,41602,68642,45187,78705.0,8558.0,114.76827784537109,61238,4.0,78.41,82.81,4.400000000000006,18799
12066,Oberspreewald-Lausitz,7.229879946642952,519.0,21399,34674,30684,41628.0,7176.0,91.93926857385802,3479,1.0,78.63,83.39,4.760000000000005,18037
12067,Oder-Spree,6.918973448028202,1365.0,36229,56791,44083,67152.0,8169.0,80.82286473911599,34703,7.0,78.63,82.71,4.079999999999998,18656
12068,Ostprignitz-Ruppin,7.537080012107759,1186.0,19637,31970,23453,36735.0,4837.0,39.227249699195745,11379,2.0,78.88,82.85,3.969999999999999,17564
12069,Potsdam-Mittelmark,7.443933431321417,693.0,39835,71394,44397,81003.0,6654.0,81.3714823645609,94801,5.0,79.5,84.25,4.75,20597
12070,Prignitz,7.077204697510732,357.0,14355,24625,20605,28284.0,4702.0,36.272964897432416,2468,1.0,78.9,83.14,4.239999999999995,18043
12071,Spree-Neiße,6.588175287967016,540.0,20396,38981,30158,44372.0,5912.0,70.9743397911224,4211,3.0,78.66,82.83,4.170000000000002,18801
12072,Teltow-Fläming,7.942379534462835,503.0,34924,53205,35599,65604.0,6019.0,77.7261883263157,80337,2.0,78.18,83.87,5.689999999999998,19160
12073,Uckermark,7.0652982299568645,752.0,22215,38481,31113,42474.0,9371.0,39.32958932958933,3993,5.0,78.33,83.29,4.960000000000008,17334
13003,Rostock,10.164505778817636,1491.0,62132,51239,47633,73837.0,10670.0,1136.5497076023391,2898,6.0,78.25,83.05,4.799999999999997,16423
13004,Schwerin,9.132231404958677,1470.0,24166,25580,23185,33941.0,4996.0,741.6487894575544,13530,2.0,78.4,82.64,4.239999999999995,17502
13071,Mecklenburgische Seenplatte,7.603317118510421,1641.0,52972,82431,62217,96516.0,17481.0,47.98906834114818,24503,5.0,79.5,81.52,2.019999999999996,17503
13072,Rostock,8.090016067605738,810.0,41908,70071,47015,80512.0,8659.0,62.37304676086626,11618,5.0,78.29,81.91,3.6199999999999903,18309
13073,Vorpommern-Rügen,7.610532870741038,1215.0,46261,69903,54839,80828.0,13757.0,70.09459434179922,26905,5.0,77.95,82.35,4.3999999999999915,17486
13074,Nordwestmecklenburg,8.242145005439305,588.0,34218,48976,34225,60818.0,6817.0,73.76375960576252,16964,2.0,77.15,80.95,3.799999999999997,17527
13075,Vorpommern-Greifswald,8.105454820060581,2276.0,54063,71420,55324,83026.0,15151.0,60.65505772661226,10868,8.0,77.85,81.13,3.280000000000001,16627
13076,Ludwigslust-Parchim,7.7809381027775055,944.0,43665,69811,46660,85885.0,8565.0,45.05308829532495,9123,6.0,77.46,81.72,4.260000000000005,18590
14511,Chemnitz,9.443182046693076,2329.0,63261,61566,66371,86940.0,11267.0,1124.8360099524994,20178,3.0,78.28,81.88,3.5999999999999943,18611
14521,Erzgebirgskreis,7.745962348812794,2074.0,65917,99890,93269,133695.0,13061.0,190.1991356201105,9351,6.0,78.16,81.57,3.4099999999999966,18124
14522,Mittelsachsen,7.847655624899985,1441.0,62660,91328,82868,122707.0,12253.0,147.63835336811067,85491,7.0,77.66,80.45,2.7900000000000063,18604
14523,Vogtlandkreis,7.48973389922434,1698.0,43377,68349,65730,86958.0,8524.0,164.4822361620481,7359,6.0,77.68,81.39,3.7099999999999937,18566
