Index,Name,Construction_ConstructionOfHouses,Houses_NumberOfHouses
8311,"Freiburg im Breisgau, Kreisfreie Stadt",677,104074
8315,"Breisgau-Hochschwarzwald, Landkreis",788,119662
8316,"Emmendingen, Landkreis",635,74519
8317,Ortenaukreis,1273,192226
8325,"Rottweil, Landkreis",373,64786
8326,Schwarzwald-Baar-Kreis,446,101654
8327,"Tuttlingen, Landkreis",316,61413
8335,"Konstanz, Landkreis",949,135271
8336,"Lšrrach, Landkreis",719,106355
8337,"Waldshut, Landkreis",417,80242
84,"TŸbingen, Regierungsbezirk",6655,817691
8415,"Reutlingen, Landkreis",837,127053
8416,"TŸbingen, Landkreis",1031,97208
8417,Zollernalbkreis,430,85429
8421,"Ulm, UniversitŠtsstadt, Kreisfreie Stadt",426,59164
8425,Alb-Donau-Kreis,714,83038
8426,"Biberach, Landkreis",1020,83780
8435,Bodenseekreis,849,103003
8436,"Ravensburg, Landkreis",1093,121632
8437,"Sigmaringen, Landkreis",255,57385
9,Bayern,46116,5981618
91,"Oberbayern, Regierungsbezirk",19524,2086480
9161,Ingolstadt,841,59036
9162,"MŸnchen, Landeshauptstadt",6204,699319
9163,Rosenheim,239,30497
9171,"Altštting, Landkreis",284,48236
9172,"Berchtesgadener Land, Landkreis",338,50171
9173,"Bad Tšlz-Wolfratshausen, Landkreis",668,56585
9174,"Dachau, Landkreis",670,62967
9175,"Ebersberg, Landkreis",523,56298
9176,"EichstŠtt, Landkreis",718,52249
9177,"Erding, Landkreis",722,54830
9178,"Freising, Landkreis",631,75233
9179,"FŸrstenfeldbruck, Landkreis",846,92800
9180,"Garmisch-Partenkirchen, Landkreis",229,48975
9181,"Landsberg am Lech, Landkreis",407,50836
9182,"Miesbach, Landkreis",442,47997
9183,"MŸhldorf a.Inn, Landkreis",474,45558
9184,"MŸnchen, Landkreis",1381,147513
9185,"Neuburg-Schrobenhausen, Landkreis",432,39075
9186,"Pfaffenhofen a.d.Ilm, Landkreis",613,50892
9187,"Rosenheim, Landkreis",1057,113321
9188,"Starnberg, Landkreis",460,62150
9189,"Traunstein, Landkreis",843,82317
9190,"Weilheim-Schongau, Landkreis",502,59631
92,"Niederbayern, Regierungsbezirk",4843,538010
9261,Landshut,642,32222
9262,Passau,129,27668
9263,Straubing,203,22806
9271,"Deggendorf, Landkreis",656,52363
9272,"Freyung-Grafenau, Landkreis",126,36716
9273,"Kelheim, Landkreis",458,49503
9274,"Landshut, Landkreis",484,62484
9275,"Passau, Landkreis",975,85161
9276,"Regen, Landkreis",109,38905
9277,"Rottal-Inn, Landkreis",369,50538
9278,"Straubing-Bogen, Landkreis",383,40574
9279,"Dingolfing-Landau, Landkreis",309,39073
93,"Oberpfalz, Regierungsbezirk",4736,514552
9361,Amberg,168,22575
9362,Regensburg,1583,76186
9363,Weiden i.d.OPf.,325,23360
9371,"Amberg-Sulzbach, Landkreis",125,49030
9372,"Cham, Landkreis",448,58912
9373,"Neumarkt i.d.OPf., Landkreis",757,53719
9374,"Neustadt a.d.Waldnaab, Landkreis",251,45023
9375,"Regensburg, Landkreis",665,83084
9376,"Schwandorf, Landkreis",320,66328
9377,"Tirschenreuth, Landkreis",94,36335
94,"Oberfranken, Regierungsbezirk",2245,530031
9461,Bamberg,242,39926
9462,Bayreuth,750,37814
9463,Coburg,83,21865
9464,Hof,34,26032
9471,"Bamberg, Landkreis",188,65857
9472,"Bayreuth, Landkreis",100,51239
9473,"Coburg, Landkreis",153,41227
9474,"Forchheim, Landkreis",297,52944
9475,"Hof, Landkreis",42,51330
9476,"Kronach, Landkreis",23,33024
9477,"Kulmbach, Landkreis",118,36567
9478,"Lichtenfels, Landkreis",158,31335
9479,"Wunsiedel i.Fichtelgebirge, Landkreis",57,40874
95,"Mittelfranken, Regierungsbezirk",5654,831592
9561,Ansbach,101,20513
9562,Erlangen,411,53277
9563,FŸrth,739,59412
9564,NŸrnberg,1546,260603
9565,Schwabach,131,18901
9571,"Ansbach, Landkreis",472,79917
9572,"Erlangen-Hšchstadt, Landkreis",419,60370
9573,"FŸrth, Landkreis",464,55358
9574,"NŸrnberger Land, Landkreis",502,79772
9575,"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",229,44410
9576,"Roth, Landkreis",460,55858
9577,"Wei§enburg-Gunzenhausen, Landkreis",180,43205
96,"Unterfranken, Regierungsbezirk",2745,636361
9661,Aschaffenburg,214,35799
9662,Schweinfurt,57,26688
9663,WŸrzburg,355,71462
9671,"Aschaffenburg, Landkreis",393,81965
9672,"Bad Kissingen, Landkreis",185,51646
9673,"Rhšn-Grabfeld, Landkreis",157,38373
9674,"Ha§berge, Landkreis",103,37875
9675,"Kitzingen, Landkreis",154,41565
9676,"Miltenberg, Landkreis",193,60608
9677,"Main-Spessart, Landkreis",254,61225
9678,"Schweinfurt, Landkreis",272,53040
9679,"WŸrzburg, Landkreis",408,76118
97,"Schwaben, Regierungsbezirk",6369,844593
9761,Augsburg,1513,138503
9762,Kaufbeuren,164,20647
9763,Kempten (AllgŠu),230,31089
9764,Memmingen,94,19381
9771,"Aichach-Friedberg, Landkreis",353,55867
9772,"Augsburg, Landkreis",606,108404
9773,"Dillingen a.d.Donau, Landkreis",274,39509
